kode_pum,kode_bps,nama
12.71.06,1275180,Medan Deli
12.71.13,1275190,Medan Labuhan
12.71.12,1275200,Medan Marelan
12.71.08,1275210,Medan Belawan
12.75.05,1276010,Binjai Selatan
12.75.02,1276020,Binjai Kota
12.75.04,1276030,Binjai Timur
12.75.01,1276040,Binjai Utara
12.75.03,1276050,Binjai Barat
12.77.05,1277010,Padangsidimpuan Tenggara
12.77.02,1277020,Padangsidimpuan Selatan
12.77.03,1277030,Padangsidimpuan Batunadua
12.77.01,1277040,Padangsidimpuan Utara
12.77.04,1277050,Padangsidimpuan Hutaimbaru
12.77.06,1277051,Padangsidimpuan Angkola Julu
12.78.04,1278010,Gunungsitoli Idanoi
12.78.02,1278020,Gunungsitoli Selatan
12.78.06,1278030,Gunungsitoli Barat
12.78.01,1278040,Gunungsitoli
12.78.05,1278050,Gunungsitoli Alo'oa
12.78.03,1278060,Gunungsitoli Utara
13.09.10,1301011,Pagai Selatan
13.09.09,1301012,Sikakap
13.09.01,1301013,Pagai Utara
13.09.02,1301021,Sipora Selatan
13.09.08,1301022,Sipora Utara
13.09.03,1301030,Siberut Selatan
13.09.06,1301031,Siberut Barat Daya
13.09.07,1301032,Siberut Tengah
13.09.04,1301040,Siberut Utara
13.09.05,1301041,Siberut Barat
13.01.15,1302011,Silaut
13.01.10,1302012,Lunang
13.01.11,1302020,Basa Ampek Balai Tapan
13.01.14,1302021,Ranah Ampek Hulu Tapan
13.01.01,1302030,Pancung Soal
13.01.13,1302031,Airpura
13.01.09,1302040,Linggo Sari Baganti
13.01.02,1302050,Ranah Pesisir
13.01.03,1302060,Lengayang
13.01.08,1302070,Sutera
13.01.04,1302080,Batang Kapas
13.01.05,1302090,Iv Jurai
13.01.06,1302100,Bayang
13.01.12,1302101,Iv Nagari Bayang Utara
13.01.07,1302110,Koto Xi Tarusan
13.02.03,1303040,Pantai Cermin
13.02.04,1303050,Lembah Gumanti
13.02.17,1303051,Hiliran Gumanti
13.02.05,1303060,Payung Sekaki
