kode_pum,kode_bps,nama
11.01.04.2014,1103090012,Tengah Baru
11.01.04.2007,1103090013,Pawoh
11.01.04.2005,1103090014,Apha
11.01.04.2004,1103090015,Pasar Lama
11.01.04.2002,1103090016,Padang Bakau
11.01.04.2001,1103090028,Bakau Hulu
11.01.04.2003,1103090029,Manggis Harapan
11.01.04.2006,1103090030,Ujung Batu
11.01.04.2008,1103090031,Dalam
11.01.04.2009,1103090032,Kota Palak
11.01.04.2010,1103090033,Cacang
11.01.04.2011,1103090034,Tengah Pisang
11.01.04.2012,1103090035,Pisang
11.01.04.2013,1103090036,Hulu Pisang
11.01.11.2009,1103091001,Keumumu Hilir
11.01.11.2002,1103091002,Paya Peulumat
11.01.11.2001,1103091003,Tengah Peulumat
11.01.11.2003,1103091004,Padang Peulumat
11.01.11.2005,1103091005,Limau Saring
11.01.11.2004,1103091006,Aur Peulumat
11.01.11.2010,1103091007,Keumumu Hulu
11.01.11.2006,1103091008,Beutong
11.01.11.2007,1103091009,Peuneulop
11.01.11.2008,1103091010,Gunung Rotan
11.01.11.2011,1103091011,Keumumu Seberang
11.01.11.2012,1103091012,Sawang Indah
11.01.12.2008,1103092001,Pulo Ie
11.01.12.2009,1103092002,Suak Lokan
11.01.12.2010,1103092003,Iku Lhueng
11.01.12.2012,1103092004,Pante Geulima
11.01.12.2006,1103092005,Blang Baru
11.01.12.2007,1103092006,Blang Poroh
11.01.12.2004,1103092007,Kuta Iboh
11.01.12.2001,1103092008,Tutong
11.01.12.2005,1103092009,Ujung Padang
11.01.12.2002,1103092010,Teungoh Iboh
11.01.12.2003,1103092011,Peulokan
11.01.12.2011,1103092012,Kuta Trieng
11.01.12.2013,1103092013,Panton Pawoh
11.01.12.2014,1103092014,Batee Meucanang
11.01.12.2015,1103092015,Panton Rubek
11.02.01.2009,1104010021,Muara Baru
11.02.01.2004,1104010022,Pasir Bangun
11.02.01.2001,1104010023,Engkeran
11.02.01.2007,1104010024,Lawe Kongker
11.02.01.2006,1104010025,Kubu
11.02.01.2008,1104010026,Kuta Cingkam Ii
11.02.01.2012,1104010027,Kuta Cingkam I
11.02.01.2014,1104010028,Lawe Sempilang
11.02.01.2013,1104010029,Kuta Batu Ii
11.02.01.2011,1104010030,Kuta Batu I
11.02.01.2015,1104010031,Prapat Batu Nunggul
11.02.01.2016,1104010032,Pulo Sepang
11.02.01.2022,1104010034,Paye Munje
11.02.01.2019,1104010035,Darul Amin
11.02.01.2020,1104010036,Lawe Lubang Indah
11.02.01.2021,1104010037,Batu Hamparan
11.02.01.2017,1104010038,Rih Mbelang
11.02.01.2018,1104010039,Kute Batu Baru
11.02.01.2002,1104010040,Rumah Kampung
11.02.01.2029,1104010041,Pasikh Pehkmate
11.02.01.2024,1104010042,Pasir Nunggul
11.02.01.2027,1104010043,Lawe Kongker Hilir
11.02.01.2023,1104010044,Pulo Ndadap
11.02.01.2026,1104010045,Pintu Khimbe
11.02.01.2028,1104010046,Pulo Gadung
11.02.01.2025,1104010047,Cingkham Mekhanggun
11.02.01.2030,1104010048,Pasikh Nunang
11.02.01.2031,1104010049,Deleng Kukusen
11.02.11.2010,1104011001,Penguhapan
11.02.11.2009,1104011002,Salim Pipit
11.02.11.2007,1104011003,Lawe Sumur
11.02.11.2015,1104011004,Uning Sigugur
11.02.11.2006,1104011005,Kute Lang-lang
11.02.11.2016,1104011006,Lumban Sitio-tio
11.02.11.2005,1104011007,Meranti
11.02.11.2008,1104011008,Pardamaian
11.02.11.2012,1104011009,Mutiara Damai
11.02.11.2011,1104011010,Lumban Tua
11.02.11.2013,1104011011,Dolok Nauli
11.02.11.2014,1104011012,Tuhi Jongkat
11.02.11.2004,1104011013,Titi Mas
11.02.11.2017,1104011017,Lawe Malum
11.02.11.2018,1104011018,Alur Baning
11.02.11.2027,1104011019,Sigai Indah
11.02.11.2022,1104011020,Sumukh Alas
11.02.11.2021,1104011021,Tuah Mesade
11.02.11.2019,1104011022,Lingga Alas
11.02.11.2020,1104011023,Khambung Tumbung
11.02.11.2024,1104011024,Sepekhinding
11.02.11.2025,1104011025,Tanoh Subukh
11.02.11.2026,1104011026,Pinggan Mbelang
11.02.11.2028,1104011027,Ukekh Deleng
11.02.11.2029,1104011028,Alas Mesikhat
11.02.11.2030,1104011029,Titi Hakhapen
11.02.11.2023,1104011030,Alukh Bakhu
11.02.15.2003,1104012001,Alur Langsat
11.02.15.2008,1104012002,Lawe Tungkal
11.02.15.2006,1104012003,Rumah Luar
11.02.15.2004,1104012005,Rambah Sayang
11.02.15.2002,1104012006,Jambur Damar
11.02.15.2007,1104012007,Tenembak Alas
11.02.15.2001,1104012008,Salim Pinim I
11.02.15.2011,1104012009,Khutung Mbelang
11.02.15.2013,1104012010,Stambul Jaya
11.02.15.2014,1104012011,Alur Nangke
11.02.15.2012,1104012012,Timang Rasa
11.02.15.2010,1104012013,Jambukh Pekhmate
11.02.15.2015,1104012014,Kute Mejile
11.02.15.2009,1104012015,Salim Pinim Ii
11.02.02.2013,1104020011,Lawe Loning Gabungan
11.02.02.2014,1104020012,Lawe Loning Aman
11.02.02.2012,1104020013,Gabungan Parsaroan
11.02.02.2011,1104020014,Kedataran Gabungan
11.02.02.2009,1104020016,Kute Tengah
11.02.02.2010,1104020017,Tanah Baru
11.02.02.2006,1104020018,Lawe Sigala Timur
11.02.02.2007,1104020019,Lawe Sigala Barat
11.02.02.2008,1104020020,Suka Damai
11.02.02.2005,1104020021,Lawe Sigala Ii
11.02.02.2004,1104020022,Lawe Tua Gabungan
11.02.02.2001,1104020023,Bukit Merdeka
11.02.02.2003,1104020024,Lawe Kesumpat
