kode_pum,kode_bps,nama,file_logo
64.74,6474,Bontang,kab-h250px-6474.jpg
65.01,6502,Bulungan,kab-h250px-6501.jpg
65.02,6501,Malinau,kab-h250px-6502.jpg
65.03,6504,Nunukan,kab-h250px-6503.jpg
65.04,6503,Tana Tidung,kab-h250px-6504.jpg
65.71,6571,Tarakan,kab-h250px-6571.jpg
71.01,7101,Bolaang Mongondow,kab-h250px-7101.jpg
71.02,7102,Minahasa,kab-h250px-7102.jpg
71.03,7103,Kepulauan Sangihe,kab-h250px-7103.jpg
71.04,7104,Kepulauan Talaud,kab-h250px-7104.jpg
71.05,7105,Minahasa Selatan,kab-h250px-7105.jpg
71.06,7106,Minahasa Utara,kab-h250px-7106.jpg
71.07,7109,Minahasa Tenggara,kab-h250px-7107.jpg
71.08,7107,Bolaang Mongondow Utara,kab-h250px-7108.jpg
71.09,7108,Kepulauan Siau Tagulandang Biaro,kab-h250px-7109.jpg
71.10,7111,Bolaang Mongondow Timur,kab-h250px-7110.jpg
71.11,7110,Bolaang Mongondow Selatan,kab-h250px-7111.jpg
71.71,7171,Manado,kab-h250px-7171.jpg
71.72,7172,Bitung,kab-h250px-7172.jpg
71.73,7173,Tomohon,kab-h250px-7173.jpg
71.74,7174,Kotamobagu,kab-h250px-7174.jpg
72.01,7202,Banggai,kab-h250px-7201.jpg
72.02,7204,Poso,kab-h250px-7202.jpg
72.03,7205,Donggala,kab-h250px-7203.jpg
72.04,7206,Toli-toli,kab-h250px-7204.jpg
72.05,7207,Buol,kab-h250px-7205.jpg
72.06,7203,Morowali,kab-h250px-7206.jpg
72.07,7201,Banggai Kepulauan,kab-h250px-7207.jpg
72.08,7208,Parigi Moutong,kab-h250px-7208.jpg
72.09,7209,Tojo Una-una,kab-h250px-7209.jpg
72.10,7210,Sigi,kab-h250px-7210.jpg
72.11,7211,Banggai Laut,kab-h250px-7211.jpg
72.12,7212,Morowali Utara,kab-h250px-7212.jpg
72.71,7271,Palu,kab-h250px-7271.jpg
73.01,7301,Kepulauan Selayar,kab-h250px-7301.jpg
73.02,7302,Bulukumba,kab-h250px-7302.jpg
73.03,7303,Bantaeng,kab-h250px-7303.jpg
73.04,7304,Jeneponto,kab-h250px-7304.jpg
73.05,7305,Takalar,kab-h250px-7305.jpg
73.06,7306,Gowa,kab-h250px-7306.jpg
73.07,7307,Sinjai,kab-h250px-7307.jpg
73.08,7311,Bone,kab-h250px-7308.jpg
73.09,7308,Maros,kab-h250px-7309.jpg
73.10,7309,Pangkajene Dan Kepulauan,kab-h250px-7310.jpg
73.11,7310,Barru,kab-h250px-7311.jpg
73.12,7312,Soppeng,kab-h250px-7312.jpg
73.13,7313,Wajo,kab-h250px-7313.jpg
73.14,7314,Sidenreng Rappang,kab-h250px-7314.jpg
73.15,7315,Pinrang,kab-h250px-7315.jpg
73.16,7316,Enrekang,kab-h250px-7316.jpg
73.17,7317,Luwu,kab-h250px-7317.png
73.18,7318,Tana Toraja,kab-h250px-7318.jpg
73.22,7322,Luwu Utara,kab-h250px-7322.jpg
73.24,7325,Luwu Timur,kab-h250px-7324.jpg
73.26,7326,Toraja Utara,kab-h250px-7326.jpg
73.71,7371,Makassar,kab-h250px-7371.jpg
73.72,7372,Parepare,kab-h250px-7372.jpg
